1.4e+02,4.0e+00,4.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00,1.0e+00,6.0e+00,5.0e+00,4.0e+00,1.0e+00,1.0e+00,4.0e+00,5.0e+00,8.0e+00,5.0e+00,1.2e+01,1.6e+01,3.1e+01
1.0e+00,2.8e+02,2.6e+01,1.1e+01,1.1e+01,4.6e+01,3.0e+00,1.0e+00,2.0e+00,3.0e+00,0.0e+00,1.2e+01,1.1e+01,6.0e+00,7.0e+00,3.0e+00,0.0e+00,2.0e+00,2.0e+00,3.0e+00
2.0e+00,1.0e+01,2.0e+02,2.7e+01,7.0e+00,1.4e+01,1.0e+00,1.0e+00,1.0e+00,0.0e+00,0.0e+00,5.0e+00,9.0e+00,0.0e+00,1.0e+00,1.0e+00,0.0e+00,0.0e+00,0.0e+00,2.0e+00
2.0e+00,1.6e+01,6.5e+01,2.8e+02,3.3e+01,7.0e+00,3.0e+01,1.0e+00,1.0e+00,0.0e+00,0.0e+00,3.0e+00,2.8e+01,1.0e+00,1.0e+00,0.0e+00,1.0e+00,1.0e+00,0.0e+00,1.0e+00
1.0e+00,1.6e+01,1.0e+01,3.2e+01,2.7e+02,6.0e+00,2.1e+01,0.0e+00,2.0e+00,0.0e+00,0.0e+00,3.0e+00,1.1e+01,0.0e+00,0.0e+00,1.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00
2.0e+00,2.4e+01,2.4e+01,2.0e+00,3.0e+00,2.9e+02,0.0e+00,0.0e+00,2.0e+00,1.0e+00,1.0e+00,1.0e+00,2.0e+00,0.0e+00,2.0e+00,1.0e+00,1.0e+00,1.0e+00,0.0e+00,0.0e+00
0.0e+00,4.0e+00,3.0e+00,9.0e+00,8.0e+00,4.0e+00,2.8e+02,8.0e+00,5.0e+00,5.0e+00,0.0e+00,1.0e+00,8.0e+00,1.0e+00,0.0e+00,0.0e+00,1.0e+00,0.0e+00,1.0e+00,0.0e+00
3.0e+00,0.0e+00,1.0e+00,4.0e+00,6.0e+00,0.0e+00,1.5e+01,2.9e+02,2.8e+01,0.0e+00,1.0e+00,0.0e+00,1.2e+01,7.0e+00,6.0e+00,0.0e+00,6.0e+00,1.0e+00,5.0e+00,2.0e+00
5.0e+00,3.0e+00,5.0e+00,0.0e+00,2.0e+00,0.0e+00,7.0e+00,3.1e+01,2.9e+02,4.0e+00,2.0e+00,4.0e+00,9.0e+00,3.0e+00,2.0e+00,1.0e+00,3.0e+00,4.0e+00,2.0e+00,4.0e+00
2.0e+00,1.0e+00,0.0e+00,0.0e+00,0.0e+00,1.0e+00,2.0e+00,0.0e+00,2.0e+00,3.2e+02,5.0e+00,3.0e+00,1.0e+00,0.0e+00,1.0e+00,1.0e+00,1.0e+00,2.0e+00,1.0e+00,1.0e+00
1.0e+01,5.0e+00,1.6e+01,8.0e+00,1.5e+01,5.0e+00,1.1e+01,2.4e+01,1.3e+01,3.0e+01,3.7e+02,1.6e+01,1.1e+01,1.6e+01,1.8e+01,1.4e+01,1.1e+01,1.0e+01,7.0e+00,7.0e+00
4.0e+00,1.1e+01,1.2e+01,3.0e+00,6.0e+00,7.0e+00,1.0e+00,4.0e+00,0.0e+00,4.0e+00,3.0e+00,3.0e+02,3.3e+01,0.0e+00,3.0e+00,1.0e+00,1.1e+01,3.0e+00,5.0e+00,4.0e+00
1.0e+00,3.0e+00,2.0e+00,1.7e+01,1.5e+01,5.0e+00,8.0e+00,9.0e+00,8.0e+00,1.0e+00,0.0e+00,3.0e+00,2.3e+02,5.0e+00,6.0e+00,0.0e+00,1.0e+00,1.0e+00,2.0e+00,2.0e+00
2.0e+00,1.0e+00,3.0e+00,0.0e+00,2.0e+00,2.0e+00,1.0e+00,3.0e+00,6.0e+00,4.0e+00,1.0e+00,1.0e+00,1.3e+01,3.1e+02,5.0e+00,1.0e+00,4.0e+00,0.0e+00,1.0e+01,7.0e+00
1.0e+01,7.0e+00,7.0e+00,0.0e+00,6.0e+00,3.0e+00,6.0e+00,6.0e+00,4.0e+00,3.0e+00,2.0e+00,5.0e+00,1.1e+01,6.0e+00,3.1e+02,2.0e+00,8.0e+00,0.0e+00,7.0e+00,5.0e+00
7.9e+01,4.0e+00,2.0e+00,0.0e+00,1.0e+00,1.0e+00,1.0e+00,3.0e+00,6.0e+00,5.0e+00,6.0e+00,7.0e+00,2.0e+00,1.9e+01,6.0e+00,3.5e+02,1.4e+01,1.9e+01,1.2e+01,9.6e+01
1.2e+01,0.0e+00,0.0e+00,0.0e+00,2.0e+00,1.0e+00,2.0e+00,6.0e+00,1.0e+01,3.0e+00,1.0e+00,1.9e+01,0.0e+00,9.0e+00,4.0e+00,2.0e+00,2.7e+02,8.0e+00,9.1e+01,2.2e+01
1.3e+01,2.0e+00,1.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00,2.0e+00,3.0e+00,2.0e+00,0.0e+00,6.0e+00,2.0e+00,3.0e+00,7.0e+00,0.0e+00,8.0e+00,3.0e+02,9.0e+00,9.0e+00
1.0e+01,0.0e+00,5.0e+00,0.0e+00,0.0e+00,0.0e+00,1.0e+00,7.0e+00,6.0e+00,6.0e+00,0.0e+00,7.0e+00,1.0e+00,5.0e+00,8.0e+00,2.0e+00,1.1e+01,9.0e+00,1.4e+02,8.0e+00
1.9e+01,0.0e+00,3.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00,0.0e+00,1.0e+00,0.0e+00,0.0e+00,1.0e+00,0.0e+00,2.0e+00,1.0e+00,6.0e+00,1.1e+01,0.0e+00,2.0e+00,4.7e+01
